"award","projname","projectnmbr","dateofaward","lgid","program","county"
"63749","Peyton FPD Water Cistern & Output Pump","07285","15-OCT-13","21079","EIAF","El Paso"
"236691","Green Mountain Falls Flood Protection","07347","10-OCT-13","64070","EIAF","El Paso"
"1000000","PPRTA Baptist Rd West/Railroad Grade Separation","07398","08-APR-14","65302","EIAF","El Paso"
"1944000","Manitou Springs William Canyon/Canyon Ave. Flood Mitigation","07422","18-MAR-14","21030","EIAF","El Paso"
"130926","Manitou Springs Staffing Assistance - Flood Recovery","07549","12-JUN-14","21030","EIAF","El Paso"
"4000","Park Forest WD Preliminary Engineering Report","07630","14-AUG-14","21035","EIAF","El Paso"
"40000","Fountain Best & Brightest Intern 2015-2016","07658","17-NOV-14","21026","EIAF","El Paso"
"402412","Colorado Springs Pinkerton CNG Fueling Station","07845","05-AUG-15","21015","EIAF","El Paso"
"20681","El Paso County Watershed Coodinator & Assistant","07889","05-MAY-15","21019","EIAF","El Paso"
"25000","Monument Comprehensive Plan Update","08213","19-APR-16","21032","EIAF","El Paso"
"25000","Green Mountain Falls Town Administrator","08246","15-AUG-16","64070","EIAF","El Paso"
"1000","Colorado Springs Airport Cyber Security Symposium Scholar.","08588","06-DEC-17","21015","EIAF","El Paso"
"4000","Co. Springs Utilities Cyber Security Symposium Scholarship","08589","06-DEC-17","21015","EIAF","El Paso"
"21140","Manitou Springs Needs Assessment - Flood Recovery","09017","24-AUG-15","21030","EIAF","El Paso"
"0","El Paso Co. CASA Advocate Services","12-775","15-OCT-12","21019","GAME","El Paso"
"0","El Paso Co. Victim Services Program (TESSA)","12-777","15-OCT-12","21019","GAME","El Paso"
"0","El Paso Co. 4th Judicial DA Impacts","12-778","15-OCT-12","21019","GAME","El Paso"
"0","El Paso Co. 4th Judicial DA Impacts","13-832","28-OCT-13","21019","GAME","El Paso"
"0","El Paso Co. Victim Services Program (TESSA)","13-833","28-OCT-13","21019","GAME","El Paso"
"0","El Paso Co. CASA Advocate Services","13-834","28-OCT-13","21019","GAME","El Paso"
"0","El Paso County 4th Judicial DA Gaming Impacts","14-853","22-OCT-14","21019","GAME","El Paso"
"0","El Paso County Victim Services Program (TESSA)","14-855","22-OCT-14","21019","GAME","El Paso"
"0","El Paso County CASA Advocate Services","14-856","22-OCT-14","21019","GAME","El Paso"
"0","El Paso County 4th Judicial DA Gaming Impacts","15-910","08-OCT-15","21019","GAME","El Paso"
"0","El Paso County CASA Advocates Services","15-911","08-OCT-15","21019","GAME","El Paso"
"0","El Paso County Victim Services (TESSA)","15-912","08-OCT-15","21019","GAME","El Paso"
"1507914","Cascade Metro District No. 1 Water System Improvements","07844","05-AUG-15","65308","EIAF","El Paso"
"643300","Manitou Springs Staffing - Flood Recovery","07897","20-MAY-15","21030","EIAF","El Paso"
"20000","PPACG Mini Grants","08329","20-DEC-16",NA,"EIAF","El Paso"
"25000","Manitou Springs Multipurpose Fire Facility","08429","08-FEB-17","21030","EIAF","El Paso"
